claim_id,claim,evidence_artifact,status,allowed_wording
SOICT-DEV-006,M08-A was killed by the current staged combined M3 development run,artifacts/assurance/2026-08-16-dev-003/m3_m08-a-v3.json;artifacts/assurance/2026-08-16-dev-003/m3_m08-a-v3.stdout.txt;artifacts/assurance/2026-08-16-dev-003/m3_m08-a-v3.stderr.txt,development_diagnostic,"One staged-source assertion-value-digest mutant run. The retained raw output identifies the failing tamper regression; it supplies no score or method comparison."
SOICT-DEV-007,M02-A was killed by the current staged combined M3 development run,artifacts/assurance/2026-08-16-dev-004/m3_m02-a-v1.json;artifacts/assurance/2026-08-16-dev-004/m3_m02-a-v1.stdout.txt;artifacts/assurance/2026-08-16-dev-004/m3_m02-a-v1.stderr.txt,development_diagnostic,"One staged-source policy-version mutant run. The retained raw output contains the shrunk state-machine trace; it supplies no score or method comparison."
SOICT-DEV-008,M03-A survived the current staged combined M3 development run,artifacts/assurance/2026-08-16-dev-005/m3_m03-a-v1.json;artifacts/assurance/2026-08-16-dev-005/m3_m03-a-v1.stdout.txt;artifacts/assurance/2026-08-16-dev-005/m3_m03-a-v1.stderr.txt,development_diagnostic,"One staged-source consent-version mutant run. It is a local coverage-gap signal only and supplies no score or method comparison."
SOICT-DEV-009,M03-A was killed by the updated staged combined M3 development run,artifacts/assurance/2026-08-16-dev-006/m3_m03-a-v2.json;artifacts/assurance/2026-08-16-dev-006/m3_m03-a-v2.stdout.txt;artifacts/assurance/2026-08-16-dev-006/m3_m03-a-v2.stderr.txt,development_diagnostic,"One staged-source consent-version mutant run after a new consent-mutation state-machine rule. Raw output contains the shrunk trace; no score or method comparison follows."
SOICT-DEV-010,M04-A combined staged run timed out,artifacts/assurance/2026-08-17-dev-007/m3_m04-a-v1.json;artifacts/assurance/2026-08-17-dev-007/m3_m04-a-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-007/m3_m04-a-v1.stderr.txt,infrastructure_error_not_killed,"Timeout after 120 seconds; exclude from any mutation-score denominator and do not infer a kill or survival."
SOICT-DEV-011,M04-A was killed by updated staged M0 regression run,artifacts/assurance/2026-08-17-dev-009/m0_m04-a-v2.json;artifacts/assurance/2026-08-17-dev-009/m0_m04-a-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-009/m0_m04-a-v2.stderr.txt,development_diagnostic,"One staged-source foreign-profile assertion run after a new subject-scope regression. Raw output retains the failure; no score or method comparison follows."
SOICT-DEV-012,M05-A was killed by updated staged M0 regression run,artifacts/assurance/2026-08-17-dev-011/m0_m05-a-v2.json;artifacts/assurance/2026-08-17-dev-011/m0_m05-a-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-011/m0_m05-a-v2.stderr.txt,development_diagnostic,"One staged-source foreign-actor snapshot-binding run after a new actor-scope regression. Raw output retains the failure; no score or method comparison follows."
SOICT-DEV-013,M07-A was killed by updated staged M0 regression run,artifacts/assurance/2026-08-17-dev-013/m0_m07-a-v2.json;artifacts/assurance/2026-08-17-dev-013/m0_m07-a-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-013/m0_m07-a-v2.stderr.txt,development_diagnostic,"One staged-source expired-snapshot run after a clock-based expiry regression. Raw output retains the failure; no score or method comparison follows."
SOICT-DEV-014,M08-A was killed by staged M0 regression run,artifacts/assurance/2026-08-17-dev-014/m0_m08-a-v1.json;artifacts/assurance/2026-08-17-dev-014/m0_m08-a-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-014/m0_m08-a-v1.stderr.txt,development_diagnostic,"One staged-source assertion-value-digest run. Raw output retains the tamper-regression failure; no score or method comparison follows."
SOICT-DEV-015,M09-A was killed by staged M0 mandatory-binding regression run,artifacts/assurance/2026-08-17-dev-015/m0_m09-a-v1.json;artifacts/assurance/2026-08-17-dev-015/m0_m09-a-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-015/m0_m09-a-v1.stderr.txt,development_diagnostic,"One staged-source declared-THSS downgrade mutant run. Raw output retains the direct binding failure; no score or API/PostgreSQL end-to-end claim follows."
SOICT-DEV-016,M06-A was killed by staged M0 purpose-binding regression run,artifacts/assurance/2026-08-17-dev-016/m0_m06-a-v1.json;artifacts/assurance/2026-08-17-dev-016/m0_m06-a-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-016/m0_m06-a-v1.stderr.txt,development_diagnostic,"One staged-source snapshot-purpose mutant run with isolated import proof. It validates a direct gateway purpose coordinate only; no score or method comparison follows."
SOICT-DEV-017,M01-C survived staged M0 commitment stale-state regression run,artifacts/assurance/2026-08-17-dev-017/m0_m01-c-v1.json;artifacts/assurance/2026-08-17-dev-017/m0_m01-c-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-017/m0_m01-c-v1.stderr.txt,development_diagnostic,"One staged-source commitment stale-state mutant survived the complete development M0 target set (27 passed). It is a local coverage-gap signal only; no score or method comparison follows."
SOICT-DEV-018,M01-C survived staged M1 stateless-property run,artifacts/assurance/2026-08-17-dev-018/m1_m01-c-v1.json;artifacts/assurance/2026-08-17-dev-018/m1_m01-c-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-018/m1_m01-c-v1.stderr.txt,development_diagnostic,"One staged-source commitment stale-state mutant survived the development M1 property target. It is a local coverage-gap signal only; M2 and M3 are not represented by this artifact and no method comparison follows."
SOICT-DEV-019,M05-B was killed by staged M0 actor-role binding regression run,artifacts/assurance/2026-08-17-dev-023/m0_m05-b-v1.json;artifacts/assurance/2026-08-17-dev-023/m0_m05-b-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-023/m0_m05-b-v1.stderr.txt,development_diagnostic,"One staged-source snapshot actor-role mutant was killed by the current M0 target set (1 failed, 26 passed). The retained assertion is direct gateway binding conformance only; no score or method comparison follows."
SOICT-DEV-020,M05-B survived staged M1 stateless-property run,artifacts/assurance/2026-08-17-dev-024/m1_m05-b-v1.json;artifacts/assurance/2026-08-17-dev-024/m1_m05-b-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-024/m1_m05-b-v1.stderr.txt,development_diagnostic,"One staged-source snapshot actor-role mutant survived the development M1 property target (7 passed). It is a local coverage-gap signal only; M2 and M3 are not represented by this artifact and no method comparison follows."
SOICT-DEV-021,M05-B staged M2 state-machine run timed out,artifacts/assurance/2026-08-17-dev-025/m2_m05-b-v1.json;artifacts/assurance/2026-08-17-dev-025/m2_m05-b-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-025/m2_m05-b-v1.stderr.txt,infrastructure_error_not_killed,"The staged M2 runner reached its explicit 120-second timeout. Exclude it from any prospective mutation-score denominator; do not infer kill, survival, or method adequacy."
SOICT-DEV-022,M05-B survived repaired staged M2 state-machine run,artifacts/assurance/2026-08-17-dev-027/m2_m05-b-v2.json;artifacts/assurance/2026-08-17-dev-027/m2_m05-b-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-027/m2_m05-b-v2.stderr.txt,development_diagnostic,"After repairing the state-machine reference oracle's consent epoch, one staged-source actor-role mutant survived M2 (1 passed). Its target hash differs from the earlier timeout; no score or method comparison follows."
SOICT-DEV-023,M05-B was killed by repaired staged M3 combined run,artifacts/assurance/2026-08-17-dev-028/m3_m05-b-v1.json;artifacts/assurance/2026-08-17-dev-028/m3_m05-b-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-028/m3_m05-b-v1.stderr.txt,development_diagnostic,"After the M2 reference-oracle repair, the staged combined suite killed the actor-role mutant (1 failed, 34 passed) through the direct THSS actor-role regression. This remains a development diagnostic with no frozen comparative inference."
SOICT-DEV-024,M05-B post-repair M0 and M1 reruns,artifacts/assurance/2026-08-17-dev-029/m0_m05-b-v2.json;artifacts/assurance/2026-08-17-dev-029/m0_m05-b-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-029/m0_m05-b-v2.stderr.txt;artifacts/assurance/2026-08-17-dev-030/m1_m05-b-v2.json;artifacts/assurance/2026-08-17-dev-030/m1_m05-b-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-030/m1_m05-b-v2.stderr.txt,development_diagnostic,"Post-repair M0 killed and M1 survived one actor-role mutant. Together with separately retained M2/M3 diagnostics, these are development data only; no frozen corpus, reproducibility protocol, or comparative inference exists."
SOICT-DEV-025,M02-D survived staged M0–M3 base-proposal policy-version runs,artifacts/assurance/2026-08-17-dev-031/m0_m02-d-v1.json;artifacts/assurance/2026-08-17-dev-031/m0_m02-d-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-031/m0_m02-d-v1.stderr.txt;artifacts/assurance/2026-08-17-dev-032/m1_m02-d-v1.json;artifacts/assurance/2026-08-17-dev-032/m1_m02-d-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-032/m1_m02-d-v1.stderr.txt;artifacts/assurance/2026-08-17-dev-033/m2_m02-d-v1.json;artifacts/assurance/2026-08-17-dev-033/m2_m02-d-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-033/m2_m02-d-v1.stderr.txt;artifacts/assurance/2026-08-17-dev-034/m3_m02-d-v1.json;artifacts/assurance/2026-08-17-dev-034/m3_m02-d-v1.stdout.txt;artifacts/assurance/2026-08-17-dev-034/m3_m02-d-v1.stderr.txt,development_diagnostic,"One staged-source base-proposal policy-version mutant survived the current development M0–M3 target sets. It is a local coverage-gap signal only; no frozen corpus, non-equivalence decision, mutation score, or method-comparison inference follows."
SOICT-DEV-026,M02-D post-matrix-change staged M0–M3 diagnostic vector,artifacts/assurance/2026-08-17-dev-035/m0_m02-d-v2.json;artifacts/assurance/2026-08-17-dev-035/m0_m02-d-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-035/m0_m02-d-v2.stderr.txt;artifacts/assurance/2026-08-17-dev-036/m3_m02-d-v2.json;artifacts/assurance/2026-08-17-dev-036/m3_m02-d-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-036/m3_m02-d-v2.stderr.txt;artifacts/assurance/2026-08-17-dev-037/m1_m02-d-v2.json;artifacts/assurance/2026-08-17-dev-037/m1_m02-d-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-037/m1_m02-d-v2.stderr.txt;artifacts/assurance/2026-08-17-dev-038/m2_m02-d-v2.json;artifacts/assurance/2026-08-17-dev-038/m2_m02-d-v2.stdout.txt;artifacts/assurance/2026-08-17-dev-038/m2_m02-d-v2.stderr.txt,development_diagnostic,"After adding the direct base-proposal stale-policy regression to M0/M3, M0 and M3 killed M02-D while M1/M2 survived in same-revision staged development runs. The corpus, seeds, limits, and analysis protocol are not frozen; no method-comparison inference or mutation score follows."
SOICT-DEV-027,M02-D M0 re-execution through checked suite-matrix selector,artifacts/assurance/2026-08-17-dev-039/m0_m02-d-v3.json;artifacts/assurance/2026-08-17-dev-039/m0_m02-d-v3.stdout.txt;artifacts/assurance/2026-08-17-dev-039/m0_m02-d-v3.stderr.txt,development_runner_diagnostic,"The matrix-selected M0 run has the same mutant/catalog/target hashes as dev-035 and was killed again. It verifies runner target selection only; it is not an additional mutant, replicate, score datum, or method comparison."
SOICT-DEV-028,M02-D M1 execution with an explicitly recorded Hypothesis seed,artifacts/assurance/2026-08-17-dev-040/m1_m02-d-v3.json;artifacts/assurance/2026-08-17-dev-040/m1_m02-d-v3.stdout.txt;artifacts/assurance/2026-08-17-dev-040/m1_m02-d-v3.stderr.txt,development_runner_diagnostic,"The named M1 matrix run required and recorded seed 20260817, then survived. It verifies seed provenance only; it is not an additional replicate, score datum, or method comparison."
SOICT-DEV-029,M02-D seeded M2 and M3 matrix executions,artifacts/assurance/2026-08-17-dev-041/m2_m02-d-v3.json;artifacts/assurance/2026-08-17-dev-041/m2_m02-d-v3.stdout.txt;artifacts/assurance/2026-08-17-dev-041/m2_m02-d-v3.stderr.txt;artifacts/assurance/2026-08-17-dev-042/m3_m02-d-v3.json;artifacts/assurance/2026-08-17-dev-042/m3_m02-d-v3.stdout.txt;artifacts/assurance/2026-08-17-dev-042/m3_m02-d-v3.stderr.txt,development_runner_diagnostic,"M2 survived and M3 was killed with seed 20260817. Together with separate M0/M1 diagnostics this is one unfrozen development vector for one mutant, not a score, independent replicate, or comparative inference."
SOICT-RESULT-001,State-machine testing outperforms regression tests,NOT_RUN,NOT_RUN,No method-comparison result is available.
