source_id,region,language,owner,category,source_type,entry_url,discovery_url,license,access_mode,ingest_strategy,trust_tier,confidence,priority,refresh_cadence,seed_action,scope,notes
VN-MOH-05,vn,vi,Cục Quản lý Khám chữa bệnh (Bộ Y tế),Phòng ngừa chuẩn trong cơ sở khám chữa bệnh,guideline,https://kcb.vn/quy-trinh/tai-lieu-huong-dan-phong-ngua-chuan-trong-cac-co-so-kham-chu.html,https://kcb.vn/quy-trinh/tai-lieu-huong-dan-phong-ngua-chuan-trong-cac-co-so-kham-chu.html,Official government portal,html,page_pdf_links,A1,verified,3,yearly,fulltext_seed,"infection control, phòng ngừa dùng thuốc trong môi trường y tế","Bổ trợ cho medical safety và cảnh báo dùng thuốc trong môi trường bệnh viện"
VN-MOH-07,vn,vi,Bộ Y tế,Kho tệp chuyên môn BYT,guideline,https://moh.gov.vn/,https://emohbackup.moh.gov.vn/publish/attach/getfile/35713,Official government portal,pdf,pdf_direct,A1,verified,2,ad_hoc,fulltext_seed,"tệp đính kèm quyết định, hướng dẫn chuyên môn BYT","Cần mapping file id theo quyết định thay vì quét tuần tự"
INT-PUBMED-01,global,en,National Library of Medicine / NIH,PubMed medication safety literature,biomedical_literature,https://pubmed.ncbi.nlm.nih.gov/,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi,U.S. federal metadata/public abstracts,api,query_seed,A1,verified,1,daily,query_seed,"systematic review, DDI, deprescribing, adverse drug events","Chỉ dùng curated safety queries; không broad crawl"
INT-DAILYMED-01,global,en,National Library of Medicine,DailyMed structured product labels,drug_label,https://dailymed.nlm.nih.gov/dailymed/,https://dailymed.nlm.nih.gov/dailymed/search.cfm,U.S. federal resource,html,html_search,A1,verified,1,daily,registry_seed,"boxed warning, contraindication, adverse reactions, patient counseling","Nguồn nhãn thuốc chính thức cho giải thích label"
INT-FDA-01,global,en,U.S. Food and Drug Administration,Drug Safety Communications,drug_safety_alert,https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,https://www.fda.gov/drugs/drug-safety-and-availability/drug-safety-communications,U.S. federal resource,html,html_index,A1,verified,1,daily,registry_seed,"post-market safety signals, label changes, important warnings","Ưu tiên cao cho evidence về cảnh báo an toàn mới"
INT-FDA-02,global,en,U.S. Food and Drug Administration,MedWatch safety information,pharmacovigilance,https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program,https://www.fda.gov/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program,U.S. federal resource,html,html_index,A1,verified,2,daily,registry_seed,"adverse event reporting, safety alerts, recalls","Hỗ trợ câu trả lời về reporting và safety monitoring"
INT-MEDLINEPLUS-01,global,en,National Library of Medicine / NIH,"Drugs, herbs and supplements",drug_information,https://medlineplus.gov/druginformation.html,https://medlineplus.gov/druginfo/,U.S. federal resource,html,html_index,A1,verified,2,weekly,registry_seed,"patient-friendly drug information, side effects, precautions","Dùng cho safe explanation layer, không thay thế nhãn chính thức"
INT-MEDLINEPLUS-02,global,en,National Library of Medicine / NIH,Drug safety topic,patient_education,https://medlineplus.gov/drugsafety.html,https://medlineplus.gov/drugsafety.html,U.S. federal resource,html,html_page,A1,verified,2,weekly,registry_seed,"giải thích khái niệm drug safety, interactions, allergies","Nguồn bệnh nhân dễ hiểu, phù hợp explain mode"
INT-WHO-01,global,en,World Health Organization,WHO Model List of Essential Medicines 2025,normative_guideline,https://www.who.int/publications/i/item/B09474,https://www.who.int/publications/i/item/B09474,WHO publication terms,pdf,pdf_direct,A1,verified,2,biannual,fulltext_seed,"essential medicines, selection and safe use","Nguồn chuẩn toàn cầu; nên ingest bản technical document/PDF"
INT-WHO-02,global,en,World Health Organization,WHO Model Lists of Essential Medicines,reference_portal,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,WHO website terms,html,html_index,A1,verified,2,biannual,registry_seed,"entry portal for EML, AWaRe, country essential medicine lists","Dùng registry seed và refresh schedule"
INT-EMA-01,global,en,European Medicines Agency,Human medicines safety referrals,drug_safety_alert,https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/referrals,https://www.ema.europa.eu/en/human-regulatory-overview/post-authorisation/pharmacovigilance-post-authorisation/referrals,EU public regulatory content,html,html_index,A1,verified,2,weekly,registry_seed,"EU safety referrals, restrictions, suspensions","Giá trị cao cho cross-check safety ngoài FDA"
INT-MHRA-01,global,en,Medicines and Healthcare products Regulatory Agency,Drug Safety Update,drug_safety_alert,https://www.gov.uk/drug-safety-update,https://www.gov.uk/drug-safety-update,UK government open website,html,html_index,A1,verified,2,monthly,registry_seed,"UK post-market safety notices and prescribing updates","Nguồn bổ sung để triangulate safety alerts"
INT-NHS-01,global,en,NHS,Medicines A to Z,patient_education,https://www.nhs.uk/medicines/,https://www.nhs.uk/medicines/,Public NHS website,html,html_index,A2,verified,3,weekly,registry_seed,"patient-friendly monographs, common side effects, how to take medicines","Chỉ dùng explain layer; không ưu tiên hơn label/regulator"
